"","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","g_intrasp.x","g_intersp.x","bal_IFN2","bal_intrasp.x","bal_intersp.x","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_trituracion_IFN2","wsw_IFN2","wb2_t_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","n_descorches.x","w_descorchado.x","v_descorchado.x","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2","TREE_ID_IFN3","TREE_ID_IFN2","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","g_intrasp.y","g_intersp.y","bal_IFN3","bal_intrasp.y","bal_intersp.y","g_ha","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_ha","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_trituracion_IFN3","wsw_IFN3","wb2_t_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","n_descorches.y","w_descorchado.y","v_descorchado.y","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"1","16_2992_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16_2992_2","IFN3","16_2992",2,2,0,127.32,8.95,3.5,62.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"2","16_2992_1","IFN2","16_2992",14.15,33.49,11.27,880.91,0,0,0,0,0,105.21,33.64,0.58,5.34,4.71,7.04,446.6,306.93,139.66,0,188.73,199.87,417.98,208.58,23.48,44.5,83.8,360.37,0,0,0,"Nodo 3 - Pies inventariados",9.29,3.27,24.2,"16_2992_1","IFN3","16_2992",1,1,1,14.15,24.95,11,488.91,0,0,0,0,0,0.69,78.38,44.09,0.6,4.01,4.4,6.82,247.23,166.31,80.92,3.5,0,0,175.39,228.19,110.26,9.31,22.48,36.71,178.77,0,0,0,"Nodo 1 - Pies inventariados",0.75,3
"3","16_2992_2","IFN2","16_2992",31.83,26.71,10.6,560.52,0,0,1.25,0,0,83.93,39.69,0.58,4.27,4.42,6.58,272.14,183.8,88.35,0,0,188.51,253.76,124.55,11.54,26.34,44.46,206.9,0,0,0,"Nodo 3 - Pies inventariados",8.91,3.6,17.8,"16_2992_3","IFN3","16_2992",3,3,2,31.83,17.05,7.5,228.32,0,0,0.69,0,0,0.73,53.56,43.99,0.62,2.8,2.84,4.4,81.61,52.95,28.65,2.6,0,0,0,73.79,38.9,2.82,9.29,12.62,63.63,0,0,0,"Nodo 1 - Pies inventariados",NA,0.5
"4","16_2992_3","IFN2","16_2992",5.09,44.4,11.5,1548.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 3 - Pies inventariados",0,0,44.4,"16_2992_4","IFN3","16_2992",4,4,3,5.09,46.75,12.5,1716.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",2.35,1
"5","19_1047_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_1047_1","IFN3","19_1047",1,1,0,14.15,23.15,8.4,420.91,0,0,4.11,0,0,0.6,72.73,36.29,0.47,3.59,4.45,5.45,164.44,109.34,55.11,2.33,0,0,86.39,151.21,79.67,7.36,18.9,29.76,135.68,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"6","19_1047_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_1047_11","IFN3","19_1047",11,9,0,31.83,16.1,8,203.58,0,0,16.42,0,0,0.65,50.58,49.69,0.44,2.48,4.46,5.36,77.82,50.36,27.45,2.48,0,0,0,69.26,35.86,2.35,8.14,10.75,57.1,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"7","19_1047_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_1047_15","IFN3","19_1047",15,11,0,31.83,15.25,5.6,182.65,0,0,17.68,0,0,0.58,47.91,36.72,0.46,2.39,3.04,3.65,49.47,31.63,17.84,1.57,0,0,0,42.43,25.65,1.98,7.17,9.23,44.04,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"8","19_1047_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_1047_19","IFN3","19_1047",19,14,0,31.83,16.55,6.7,215.12,0,0,15.07,0,0,0.68,51.99,40.48,0.46,2.58,3.65,4.39,69.02,44.57,24.45,2.2,0,0,0,60.92,34.07,2.57,8.67,11.61,56.92,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"9","19_1047_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_1047_26","IFN3","19_1047",26,18,0,14.15,24.1,9.6,456.17,0,0,2.82,0,0,0.65,75.71,39.83,0.46,3.71,5.14,6.31,202.46,135.42,67.04,2.86,0,0,96.65,187.5,94.2,8.35,20.74,33.31,156.61,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"10","19_1047_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_1047_29","IFN3","19_1047",29,21,0,31.83,16.3,6.2,208.67,0,0,15.76,0,0,0.66,51.21,38.04,0.46,2.55,3.36,4.05,62.13,40.01,22.13,1.98,0,0,0,55.48,31.44,2.45,8.37,11.13,53.39,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"11","19_1047_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_1047_3","IFN3","19_1047",3,3,0,31.83,15.6,6.4,191.13,0,0,17.07,0,0,0.61,49.01,41.03,0.45,2.43,3.5,4.21,58.89,37.83,21.06,1.87,0,0,0,52.39,29.22,2.13,7.56,9.84,48.75,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"12","19_1047_1","IFN2","19_1047",31.83,19.18,8.07,288.99,0,0,19.01,0,0,60.26,42.09,0.39,2.9,4.9,5.71,110.07,72.14,37.92,0,0,59.44,97.86,52.23,4.08,12.22,17.56,86.09,0,0,0,"Nodo 3 - Pies inventariados",4.83,2.07,14.35,"19_1047_2","IFN3","19_1047",2,2,1,31.83,19.2,7.1,289.53,0,0,6.82,0,0,0.92,60.32,36.98,0.47,3,3.74,4.56,97.27,63.57,33.7,3.1,0,0,0,88.16,48.34,4.09,12.24,17.61,82.28,0,0,0,"Nodo 1 - Pies inventariados",4.85,1.1
"13","19_1047_10","IFN2","19_1047",31.83,18.37,7.49,265.07,0,0,23.47,0,0,57.71,40.78,0.39,2.77,4.6,5.33,94.15,61.41,32.74,0,0,0,85.07,45.52,3.56,11.05,15.56,75.69,0,0,0,"Nodo 3 - Pies inventariados",4.77,1.99,13.6,"19_1047_13","IFN3","19_1047",13,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"14","19_1047_11","IFN2","19_1047",31.83,20.38,8.05,326.19,0,0,11.2,0,0,64.02,39.51,0.41,3.1,4.74,5.57,123.39,81.22,42.17,0,0,66.79,110.29,59.27,4.93,14.06,20.81,99.07,0,0,0,"Nodo 3 - Pies inventariados",4.93,2.05,15.45,"19_1047_14","IFN3","19_1047",14,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"15","19_1047_12","IFN2","19_1047",31.83,18.69,8.09,274.4,0,0,21.73,0,0,58.72,43.26,0.39,2.81,4.96,5.77,104.88,68.62,36.26,0,0,0,93.35,49.5,3.76,11.5,16.33,81.09,0,0,0,"Nodo 3 - Pies inventariados",4.79,2.09,13.9,"19_1047_16","IFN3","19_1047",16,12,12,31.83,17.1,7.9,229.66,0,0,14.34,0,0,0.73,53.72,46.2,0.45,2.64,4.36,5.26,86.34,56.1,30.24,2.75,0,0,0,77.27,40.42,2.84,9.36,12.73,65.34,0,0,0,"Nodo 1 - Pies inventariados",3.2,1.9
"16","19_1047_13","IFN2","19_1047",31.83,19.47,7.47,297.76,0,0,16.21,0,0,61.17,38.38,0.4,2.96,4.46,5.21,105.06,68.81,36.25,0,0,0,94.75,51.4,4.27,12.65,18.32,86.63,0,0,0,"Nodo 3 - Pies inventariados",4.87,1.97,14.6,"19_1047_17","IFN3","19_1047",17,13,13,31.83,18.5,7.4,268.8,0,0,9.49,0,0,0.86,58.12,40,0.46,2.88,3.97,4.81,94.28,61.51,32.77,3,0,0,0,85.5,45.85,3.64,11.23,15.87,76.59,0,0,0,"Nodo 1 - Pies inventariados",3.9,1.9
"17","19_1047_14","IFN2","19_1047",31.83,19.08,6.87,286.04,0,0,19.93,0,0,59.95,35.98,0.4,2.91,4.13,4.8,93.06,60.74,32.32,0,0,0,81.54,46.75,4.01,12.07,17.31,80.15,0,0,0,"Nodo 3 - Pies inventariados",4.83,1.87,14.25,"19_1047_18","IFN3","19_1047",18,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"18","19_1047_15","IFN2","19_1047",31.83,22.1,7.97,383.67,0,0,7.83,0,0,69.44,36.05,0.42,3.38,4.62,5.46,142.85,94.55,48.3,0,0,77.83,127.7,69.92,6.36,16.97,26.13,119.38,0,0,0,"Nodo 3 - Pies inventariados",5,1.97,17.1,"19_1047_20","IFN3","19_1047",20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"19","19_1047_16","IFN2","19_1047",31.83,20.48,8.65,329.5,0,0,10.15,0,0,64.35,42.24,0.41,3.1,5.11,6.02,133.66,88.16,45.5,0,0,68.7,122.01,62.63,5.01,14.22,21.11,102.97,0,0,0,"Nodo 3 - Pies inventariados",4.93,2.15,15.55,"19_1047_21","IFN3","19_1047",21,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"20","19_1047_17","IFN2","19_1047",31.83,23.92,8.49,449.27,0,0,3.72,0,0,75.14,35.48,0.43,3.65,4.87,5.78,176.88,117.91,58.98,0,0,92.26,161.54,85.9,8.16,20.38,32.61,147.04,0,0,0,"Nodo 3 - Pies inventariados",5.07,1.99,18.85,"19_1047_22","IFN3","19_1047",22,15,17,31.83,21.55,8.2,364.74,0,0,4.71,0,0,1.16,67.7,38.05,0.47,3.35,4.35,5.31,139.89,92.49,47.41,4.45,0,0,74.7,128.06,67.46,5.88,16,24.34,113.68,0,0,0,"Nodo 1 - Pies inventariados",2.7,1.7
"21","19_1047_18","IFN2","19_1047",31.83,19.74,7.47,306.19,0,0,14.28,0,0,62.03,37.83,0.41,3.01,4.42,5.18,107.88,70.72,37.15,0,0,61.44,97.25,52.92,4.47,13.06,19.05,89.49,0,0,0,"Nodo 3 - Pies inventariados",4.89,1.97,14.85,"19_1047_23","IFN3","19_1047",23,16,18,31.83,18.8,7.1,277.59,0,0,7.74,0,0,0.88,59.06,37.77,0.47,2.94,3.76,4.57,93.4,60.95,32.45,2.97,0,0,0,81.04,46.23,3.83,11.66,16.6,78.32,0,0,0,"Nodo 1 - Pies inventariados",3.95,1.6
"22","19_1047_19","IFN2","19_1047",31.83,19.56,9.28,300.53,0,0,15.25,0,0,61.45,47.43,0.39,2.93,5.63,6.59,130.93,86.22,44.71,0,0,64.08,117.85,59.32,4.34,12.78,18.56,95,0,0,0,"Nodo 3 - Pies inventariados",4.86,2.28,14.7,"19_1047_24","IFN3","19_1047",24,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"23","19_1047_2","IFN2","19_1047",31.83,19.3,8.08,292.59,0,0,17.15,0,0,60.64,41.86,0.4,2.92,4.87,5.69,111.48,73.11,38.38,0,0,60.21,99.17,52.95,4.16,12.39,17.87,87.37,0,0,0,"Nodo 3 - Pies inventariados",4.85,2.08,14.45,"19_1047_4","IFN3","19_1047",4,4,2,31.83,18.4,7,265.9,0,0,10.34,0,0,0.85,57.81,38.04,0.46,2.87,3.75,4.54,88.37,57.56,30.81,2.81,0,0,0,76.96,43.79,3.58,11.09,15.63,74.09,0,0,0,"Nodo 1 - Pies inventariados",3.95,1
"24","19_1047_20","IFN2","19_1047",31.83,19.25,7.47,291,0,0,18.09,0,0,60.47,38.83,0.4,2.92,4.49,5.24,102.77,67.25,35.51,0,0,0,92.68,50.16,4.12,12.31,17.74,84.34,0,0,0,"Nodo 3 - Pies inventariados",4.85,1.97,14.4,"19_1047_25","IFN3","19_1047",25,17,20,31.83,18.3,6.6,263.02,0,0,11.19,0,0,0.84,57.49,36.07,0.47,2.86,3.53,4.27,82.57,53.68,28.88,2.63,0,0,0,72.98,41.75,3.52,10.95,15.39,71.61,0,0,0,"Nodo 1 - Pies inventariados",3.9,1.1
"25","19_1047_21","IFN2","19_1047",31.83,20.05,8.66,315.67,0,0,13.27,0,0,62.98,43.18,0.4,3.03,5.18,6.07,128.32,84.51,43.81,0,0,65.96,117.2,59.88,4.69,13.53,19.88,97.97,0,0,0,"Nodo 3 - Pies inventariados",4.9,2.16,15.15,"19_1047_27","IFN3","19_1047",27,19,21,31.83,18.6,7.6,271.72,0,0,8.62,0,0,0.86,58.43,40.86,0.46,2.89,4.07,4.95,97.78,63.86,33.92,3.11,0,0,0,88.1,47.14,3.7,11.37,16.11,78.33,0,0,0,"Nodo 1 - Pies inventariados",3.45,1.1
"26","19_1047_22","IFN2","19_1047",31.83,25.3,9.59,502.59,0,0,2.12,0,0,79.47,37.9,0.42,3.83,5.54,6.59,222.03,149.02,73.01,0,0,169.28,205.44,104.29,9.73,23.21,38.16,175.38,0,0,0,"Nodo 3 - Pies inventariados",5.1,2.09,20.2,"19_1047_28","IFN3","19_1047",28,20,22,14.15,27,9,572.56,0,0,2.01,0,0,0.81,84.82,33.33,0.47,4.18,4.76,5.85,236.68,159.35,77.33,3.35,0,0,179.07,220.21,115.11,11.94,27,45.81,199.85,0,0,0,"Nodo 1 - Pies inventariados",6.8,1.5
"27","19_1047_23","IFN2","19_1047",31.83,20.32,8.05,324.31,0,0,12.24,0,0,63.84,39.6,0.41,3.09,4.76,5.59,122.64,80.71,41.93,0,0,66.38,109.58,58.89,4.89,13.96,20.65,98.39,0,0,0,"Nodo 3 - Pies inventariados",4.92,2.05,15.4,"19_1047_30","IFN3","19_1047",30,22,23,31.83,17.75,6.9,247.45,0,0,12.03,0,0,0.79,55.76,38.87,0.46,2.77,3.72,4.49,81.3,52.8,28.5,2.59,0,0,0,71.02,40.23,3.2,10.2,14.13,67.76,0,0,0,"Nodo 1 - Pies inventariados",2.35,0.9
"28","19_1047_24","IFN2","19_1047",14.15,30.99,9.35,754.19,0,0,0,0,0,97.35,30.17,0.43,4.72,5.33,6.37,320.41,218.03,102.37,0,0,193.41,295.48,157.71,18.4,37.17,67.41,280.68,0,0,0,"Nodo 3 - Pies inventariados",5.24,1.85,25.75,"19_1047_31","IFN3","19_1047",31,23,24,14.15,29.9,8.7,702.15,0,0,1.02,0,0,0.99,93.93,29.1,0.48,4.65,4.56,5.61,278.78,188.9,89.88,3.94,0,0,123.24,253.58,139.87,16.44,34.21,60.98,251.5,0,0,0,"Nodo 1 - Pies inventariados",4.15,1.2
"29","19_1047_25","IFN2","19_1047",127.32,15.43,8.35,187.07,0,0,25.87,0,0,48.49,54.12,0.37,2.31,5.22,6.04,74.8,48.32,26.48,0,0,0,66.03,33.68,2.06,7.38,9.55,52.66,0,0,0,"Nodo 3 - Pies inventariados",4.63,2.35,10.8,"19_1047_32","IFN3","19_1047",32,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"30","19_1047_26","IFN2","19_1047",14.15,30.75,7.65,742.7,0,0,1.07,0,0,96.61,24.89,0.44,4.74,4.29,5.11,259.66,175.77,83.9,0,0,117.75,233.59,137.11,17.96,36.51,65.97,257.55,0,0,0,"Nodo 3 - Pies inventariados",5.25,1.65,25.5,"19_1047_33","IFN3","19_1047",33,24,26,14.15,30.3,8.8,721.07,0,0,0,0,0,1.02,95.19,29.04,0.48,4.71,4.6,5.66,289.23,196.22,93.01,4.09,0,0,123.53,268.1,144.87,17.14,35.28,63.29,260.59,0,0,0,"Nodo 1 - Pies inventariados",4.8,2.8
"31","19_1047_27","IFN2","19_1047",31.83,17.29,10,234.85,0,0,25.12,0,0,54.32,57.8,0.36,2.55,6.35,7.35,111,72.59,38.41,0,0,0,102.37,47.86,2.94,9.6,13.13,73.54,0,0,0,"Nodo 3 - Pies inventariados",4.69,2.5,12.6,"19_1047_34","IFN3","19_1047",34,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"32","19_1047_3","IFN2","19_1047",31.83,18.58,8.09,271.12,0,0,22.6,0,0,58.37,43.53,0.38,2.79,4.98,5.78,103.68,67.81,35.87,0,0,0,92.29,48.88,3.69,11.34,16.06,79.97,0,0,0,"Nodo 3 - Pies inventariados",4.78,2.09,13.8,"19_1047_5","IFN3","19_1047",5,5,3,31.83,17.35,7,236.42,0,0,13.59,0,0,0.75,54.51,40.35,0.46,2.7,3.8,4.59,78.9,51.18,27.72,2.51,0,0,0,68.71,38.68,2.98,9.68,13.25,64.58,0,0,0,"Nodo 1 - Pies inventariados",3.55,1
"33","19_1047_4","IFN2","19_1047",31.83,18,7.51,254.47,0,0,24.31,0,0,56.55,41.74,0.38,2.71,4.63,5.36,90.76,59.12,31.64,0,0,0,82.17,43.67,3.34,10.54,14.7,72.25,0,0,0,"Nodo 3 - Pies inventariados",4.75,2.01,13.25,"19_1047_6","IFN3","19_1047",6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"34","19_1047_5","IFN2","19_1047",127.32,15.36,8.34,185.25,0,0,28.25,0,0,48.25,54.28,0.37,2.29,5.26,6.06,73.96,47.76,26.21,0,0,0,65.21,33.29,2.03,7.29,9.42,52.03,0,0,0,"Nodo 3 - Pies inventariados",4.61,2.34,10.75,"19_1047_7","IFN3","19_1047",7,6,5,31.83,13.55,6.6,144.2,0,0,18.26,0,0,0.46,42.57,48.71,0.45,2.11,3.64,4.37,46.24,29.43,16.81,1.47,0,0,0,40.87,22.11,1.37,5.45,6.63,35.56,0,0,0,"Nodo 1 - Pies inventariados",2.8,0.6
"35","19_1047_6","IFN2","19_1047",31.83,18.85,8.68,279.02,0,0,20.84,0,0,59.21,46.07,0.38,2.83,5.35,6.22,114.26,74.93,39.33,0,0,58.58,104.59,52.65,3.86,11.73,16.72,84.96,0,0,0,"Nodo 3 - Pies inventariados",4.8,2.18,14.05,"19_1047_8","IFN3","19_1047",8,7,6,31.83,17.6,7.5,243.28,0,0,12.82,0,0,0.77,55.29,42.61,0.45,2.73,4.09,4.94,86.76,56.42,30.34,2.76,0,0,0,78.45,41.6,3.11,10,13.8,68.51,0,0,0,"Nodo 1 - Pies inventariados",3.55,1
"36","19_1047_7","IFN2","19_1047",31.83,20.95,8.63,344.84,0,0,9.05,0,0,65.83,41.17,0.41,3.18,5.07,5.98,139.27,92,47.27,0,0,71.76,126.86,65.6,5.38,14.99,22.5,108.48,0,0,0,"Nodo 3 - Pies inventariados",4.95,2.13,16,"19_1047_9","IFN3","19_1047",9,8,7,31.83,19.5,8.1,298.65,0,0,5.87,0,0,0.95,61.26,41.54,0.47,3.03,4.31,5.26,113.99,74.81,39.18,3.63,0,0,61.42,101.56,54.19,4.29,12.69,18.39,89.57,0,0,0,"Nodo 1 - Pies inventariados",3.5,1.6
"37","19_1047_8","IFN2","19_1047",31.83,22.72,8.53,405.42,0,0,6.54,0,0,71.38,37.56,0.42,3.46,4.95,5.86,161.06,106.98,54.08,0,0,83.6,147.71,77.32,6.94,18.09,28.23,130.58,0,0,0,"Nodo 3 - Pies inventariados",5.02,2.03,17.7,"19_1047_10","IFN3","19_1047",10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"38","19_1047_9","IFN2","19_1047",31.83,23.62,7.32,438.04,0,0,5.15,0,0,74.19,30.98,0.43,3.63,4.16,4.93,149.35,99.12,50.23,0,0,86.24,135.16,76.31,7.84,19.79,31.47,135.4,0,0,0,"Nodo 3 - Pies inventariados",5.07,1.82,18.55,"19_1047_12","IFN3","19_1047",12,10,9,14.15,24.05,7.1,454.28,0,0,3.47,0,0,0.64,75.56,29.52,0.48,3.77,3.68,4.51,150.2,99.74,50.46,2.12,0,0,88.58,136.13,77.84,8.3,20.64,33.12,139.89,0,0,0,"Nodo 1 - Pies inventariados",5.5,1.6
"39","19_1051_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_1051_12","IFN3","19_1051",12,10,0,14.15,29.1,10.3,665.08,0,0,0,0,0,0.94,91.42,35.4,0.48,4.49,5.37,6.69,311.98,211.84,100.14,4.41,0,0,211.24,292.12,146.59,15.1,32.12,56.51,250.33,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"40","19_1051_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_1051_13","IFN3","19_1051",13,11,0,14.15,23.95,9.3,450.51,0,0,3.26,0,0,0.64,75.24,38.83,0.48,3.71,4.85,6.02,193.93,129.56,64.37,2.74,0,0,94.64,179.56,91.16,8.19,20.44,32.73,152.52,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"41","19_1051_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_1051_15","IFN3","19_1051",15,13,0,14.15,27.05,9.4,574.68,0,0,1.75,0,0,0.81,84.98,34.75,0.48,4.2,4.88,6.07,247.83,167.05,80.78,3.51,0,0,181.83,229.55,118.71,12.01,27.12,46.04,203.87,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"42","19_1051_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_1051_3","IFN3","19_1051",3,2,0,31.83,15.15,5.8,180.27,0,0,15,0,0,0.57,47.6,38.28,0.47,2.39,3.05,3.71,50.55,32.33,18.22,1.61,0,0,0,43.01,25.85,1.94,7.07,9.06,43.92,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"43","19_1051_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19_1051_8","IFN3","19_1051",8,7,0,31.83,12.75,4.4,127.68,0,0,15.57,0,0,0.41,40.06,34.51,0.48,2.03,2.27,2.76,27.68,17.37,10.3,0.88,0,0,0,22.88,15.13,1.13,4.74,5.59,26.58,0,0,0,"Nodo 1 - Pies inventariados",NA,NA
"44","19_1051_1","IFN2","19_1051",31.83,18.61,7.16,271.96,0,0,19.06,0,0,58.46,38.47,0.43,2.87,4.06,4.82,92.31,60.2,32.11,0,0,0,83.69,45.47,3.71,11.38,16.13,76.69,0,0,0,"Nodo 3 - Pies inventariados",5.46,2.16,13.15,"19_1051_1","IFN3","19_1051",1,1,1,31.83,18.85,6,279.07,0,0,14.11,0,0,0.89,59.22,31.83,0.48,2.97,3.15,3.84,79.65,51.78,27.87,2.54,0,0,0,71.19,41.9,3.86,11.73,16.72,74.22,0,0,0,"Nodo 1 - Pies inventariados",5.7,1
"45","19_1051_10","IFN2","19_1051",31.83,20.63,7.67,334.29,0,0,14.01,0,0,64.81,37.18,0.44,3.18,4.28,5.12,120.49,79.29,41.2,0,0,67.36,108.55,59.03,5.13,14.46,21.54,100.16,0,0,0,"Nodo 3 - Pies inventariados",5.58,2.17,15.05,"19_1051_14","IFN3","19_1051",14,12,10,31.83,20.9,7.7,343.07,0,0,7.44,0,0,1.09,65.66,36.84,0.48,3.27,4.01,4.94,124.01,81.69,42.32,3.95,0,0,69.19,111.3,60.81,5.34,14.9,22.34,103.4,0,0,0,"Nodo 1 - Pies inventariados",5.85,2.2
"46","19_1051_11","IFN2","19_1051",31.83,20.51,8.29,330.34,0,0,15.07,0,0,64.43,40.42,0.43,3.14,4.69,5.6,128.51,84.68,43.82,0,0,68.15,117.81,61.16,5.03,14.27,21.19,101.64,0,0,0,"Nodo 3 - Pies inventariados",5.56,2.29,14.95,"19_1051_16","IFN3","19_1051",16,14,11,31.83,19.7,7.7,304.81,0,0,8.54,0,0,0.97,61.89,39.09,0.48,3.08,4.03,4.96,110.64,72.58,38.07,3.52,0,0,61.73,99.3,53.67,4.43,12.99,18.93,90.02,0,0,0,"Nodo 1 - Pies inventariados",4.75,1.7
