"","X","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","TREE_ID_IFN3_2.x","TREE_ID_IFN3.x","TREE_ID_IFN2.x","TREE_ID_compare","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_desenrollo.x","v_chapa.x","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_poste.x","v_estaca.x","v_trituracion_IFN2","wsw_IFN2","wthickb_IFN2","wb2_7_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2.y","TREE_ID_IFN3.y","TREE_ID_IFN2.y","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","g_ha","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_ha","v_desenrollo.y","v_chapa.y","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_poste.y","v_estaca.y","v_trituracion_IFN3","wsw_IFN3","wthickb_IFN3","wb2_7_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"1",1,"40_1022_1","IFN2","40_1022",NA,NA,1,NA,35.72,26.15,15.11,537.18,23.89,82.16,57.76,0.34,3.95,9.97,11.63,360.05,334.88,25.17,0,0,0,0,251.5,217.37,51.55,341.56,159.11,0,19.8,30.33,88.91,298.15,"Nodo 3 - Pies inventariados",4.7,3.61,21.45,"40_1022_1","IFN3","40_1022",1,1,1,14.15,26.11,13.58,535.52,18.95,0.76,82.03,52.02,0.4,4.19,8.19,9.68,321.28,300.19,21.1,4.55,0,0,0,0,241.2,209.96,49.35,302.91,142.63,0,21.69,34.16,88.64,287.12,"Nodo 1 - Pies inventariados",4.66,2.08
"2",2,"40_1022_10","IFN2","40_1022",NA,NA,10,NA,15.9,27.31,14.63,585.6,16.87,85.78,53.58,0.36,4.2,9.38,11.05,377.04,353.54,23.5,0,0,0,0,261.04,226.67,48.8,357.83,167.98,0,22.94,34.6,96.93,322.44,"Nodo 3 - Pies inventariados",4.76,3.63,22.55,"40_1022_15","IFN3","40_1022",15,15,10,14.15,27.22,13.92,581.87,16.55,0.82,85.51,51.13,0.4,4.36,8.32,9.86,355.77,334.17,21.59,5.03,0,0,0,0,254.56,221.83,48.2,333.75,158.78,0,23.78,36.4,96.31,315.26,"Nodo 1 - Pies inventariados",4.67,2.92
"3",3,"40_1022_11","IFN2","40_1022",NA,NA,11,NA,34.76,24.77,13.6,482.04,27.59,77.83,54.9,0.34,3.83,9,10.51,291.94,270.55,21.39,0,0,0,0,174.09,198.13,51.93,275.54,128.55,0,18.75,30.39,79.79,257.48,"Nodo 3 - Pies inventariados",4.67,3.6,20.1,"40_1022_16","IFN3","40_1022",16,16,11,14.15,24.65,13.33,477.35,19.71,0.68,77.45,54.08,0.4,3.97,8.05,9.52,283.38,262.66,20.72,4.01,0,0,0,0,173.25,196.64,51.86,266.26,124.8,0,18.84,30.76,79.01,253.41,"Nodo 1 - Pies inventariados",4.55,3.33
"4",4,"40_1022_12","IFN2","40_1022",NA,NA,12,NA,15.91,27.98,14.13,614.78,14.92,87.89,50.52,0.37,4.36,8.96,10.61,380.39,358.57,21.82,0,0,0,0,265.73,231.35,46.39,356.68,170.37,0,25.29,37.98,101.76,335.4,"Nodo 3 - Pies inventariados",4.78,3.63,23.2,"40_1022_17","IFN3","40_1022",17,17,12,14.15,27.85,13.42,609.31,14.86,0.86,87.5,48.17,0.41,4.52,7.94,9.44,357.3,337.36,19.93,5.05,0,0,0,0,258.17,225.53,45.54,337.45,160.29,0,26.18,39.94,100.85,327.26,"Nodo 1 - Pies inventariados",4.65,2.92
"5",5,"40_1022_13","IFN2","40_1022",NA,NA,13,NA,15.9,27.93,13.63,612.54,15.89,87.73,48.8,0.37,4.39,8.64,10.24,364.98,344.51,20.47,0,0,0,0,261.79,228.39,45.91,345.06,163.69,0,26,39.45,101.39,330.53,"Nodo 3 - Pies inventariados",4.78,3.63,23.15,"40_1022_18","IFN3","40_1022",18,18,13,14.15,27.97,13.33,614.58,13.13,0.87,87.88,47.66,0.41,4.56,7.83,9.33,357.81,338.17,19.64,5.06,0,0,0,0,259.04,226.69,44.97,340.19,160.68,0,26.64,40.61,101.73,329.65,"Nodo 1 - Pies inventariados",4.82,3.33
"6",6,"40_1022_14","IFN2","40_1022",NA,NA,14,NA,34.69,20.93,13.11,343.93,34.97,65.74,62.63,0.32,3.23,8.86,10.29,205.67,186.02,19.65,0,0,0,0,128.42,0,72.87,193.03,88.38,0,12.21,21.88,56.93,179.4,"Nodo 3 - Pies inventariados",4.58,3.61,16.35,"40_1022_21","IFN3","40_1022",21,21,14,31.83,19.44,12.83,296.94,26.5,0.95,61.09,66,0.38,3.13,7.94,9.33,175.69,157.26,18.43,5.59,0,0,0,0,65.67,0,87.94,164.12,74.72,0,10.17,19.07,49.15,153.11,"Nodo 1 - Pies inventariados",3.09,3.33
"7",7,"40_1022_15","IFN2","40_1022",NA,NA,15,NA,34.55,18.44,12.61,267.17,42.7,57.94,68.35,0.31,2.84,8.71,10.05,156.42,138.99,17.43,0,0,0,0,59.37,0,92.07,144.78,66.04,0,8.94,17.33,44.22,136.54,"Nodo 3 - Pies inventariados",4.49,3.61,13.95,"40_1022_22","IFN3","40_1022",22,22,15,31.83,17.14,12.33,230.78,29.85,0.73,53.85,71.95,0.38,2.77,7.7,9.03,133.56,117.46,16.1,4.25,0,0,0,0,0,0,100.82,124.48,55.81,0,7.46,15.13,38.2,116.6,"Nodo 1 - Pies inventariados",3.19,3.33
"8",8,"40_1022_16","IFN2","40_1022",NA,NA,16,NA,15.95,35.66,16.66,998.77,1.77,112.03,46.72,0.39,5.4,10.21,12.18,706.89,686.64,20.25,0,0,0,375.44,315.42,275.33,26.33,677.98,326.25,0,42.43,53.58,165.32,587.57,"Nodo 3 - Pies inventariados",4.91,3.66,30.75,"40_1022_24","IFN3","40_1022",24,24,16,14.15,38.22,15.5,1147.57,1.74,1.62,120.09,40.55,0.43,6.09,8.77,10.55,745.23,734.05,11.18,10.54,0,0,0,415.96,228.29,255.8,22.81,708.08,348.77,0.19,54.77,67.83,189.95,661.5,"Nodo 1 - Pies inventariados",7.47,2.5
"9",9,"40_1022_17","IFN2","40_1022",NA,NA,17,NA,15.94,33.33,15.15,872.61,4.77,104.72,45.46,0.39,5.18,9.3,11.11,565.25,545.69,19.56,0,0,0,186.54,316.31,276.28,27.26,530.16,259.28,0,38.39,51.51,144.43,493.62,"Nodo 3 - Pies inventariados",4.88,3.65,28.45,"40_1022_27","IFN3","40_1022",27,27,17,14.15,33.9,14,902.75,4.77,1.28,106.51,41.29,0.43,5.53,7.95,9.57,536.93,521.56,15.36,7.6,0,0,0,188.33,302.53,267.22,25.93,506.11,247.81,0,43.19,58.58,149.42,499.01,"Nodo 1 - Pies inventariados",5.45,2.5
"10",10,"40_1022_18","IFN2","40_1022",NA,NA,18,NA,15.94,33.59,15.66,885.99,3.36,105.52,46.63,0.39,5.18,9.59,11.46,593.29,572.59,20.7,0,0,0,191.38,320.11,278.92,27.55,560.67,272.06,0,38.06,50.43,146.65,507.2,"Nodo 3 - Pies inventariados",4.89,3.66,28.7,"40_1022_28","IFN3","40_1022",28,28,18,14.15,35.65,14.5,997.91,3.36,1.41,111.98,40.68,0.43,5.77,8.21,9.88,610.96,597.13,13.82,8.64,0,0,0,356.91,232.32,261.52,24.72,575.45,283.72,0,48.01,62.82,165.17,559.72,"Nodo 1 - Pies inventariados",6.95,2.5
"11",11,"40_1022_19","IFN2","40_1022",NA,NA,19,NA,15.93,32.26,15.65,817.36,6.16,101.35,48.52,0.38,4.95,9.7,11.54,550.45,527.96,22.49,0,0,0,177.55,329.4,284.98,28.24,519.95,250.85,0,34.09,46.18,135.29,466.42,"Nodo 3 - Pies inventariados",4.86,3.65,27.4,"40_1022_29","IFN3","40_1022",29,29,19,14.15,30.89,14.5,749.47,8.22,1.06,97.05,46.94,0.42,4.96,8.4,10.04,469.09,448.47,20.62,6.64,0,0,0,160.41,305.47,265,41.4,441.83,213.08,0,32.42,45.85,124.05,415.41,"Nodo 1 - Pies inventariados",3.49,2.5
"12",12,"40_1022_2","IFN2","40_1022",NA,NA,2,NA,15.93,29.82,15.15,698.49,8.58,93.69,50.81,0.38,4.6,9.45,11.23,460.3,436.82,23.48,0,0,0,0,296.48,256.55,44.41,431.75,207.55,0,28.29,40.33,115.62,391.79,"Nodo 3 - Pies inventariados",4.82,3.65,25,"40_1022_2","IFN3","40_1022",2,2,2,14.15,31.61,14.42,784.73,6.05,1.11,99.3,45.61,0.43,5.11,8.26,9.91,486.49,466.88,19.61,6.88,0,0,0,167.08,315.72,274.44,28.25,461.99,221.83,0,34.71,48.55,129.89,434.98,"Nodo 1 - Pies inventariados",6.61,2.92
"13",13,"40_1022_20","IFN2","40_1022",NA,NA,20,NA,139.35,13.83,12.67,150.31,44.4,43.46,91.56,0.31,2.13,8.8,10.13,92.45,78.57,13.88,0,0,0,0,0,0,80.16,84.87,37.33,0,4.05,9.16,24.88,75.41,"Nodo 3 - Pies inventariados",4.38,3.67,9.45,"40_1022_30","IFN3","40_1022",30,30,20,127.32,10.44,9,85.56,31.85,1.09,32.79,86.23,0.39,1.8,5.5,6.55,38.46,31.78,6.68,4.9,0,0,0,0,0,0,31.21,32.93,15.1,0,2.54,7.31,14.16,39.11,"Nodo 1 - Pies inventariados",0.99,0
"14",14,"40_1022_21","IFN2","40_1022",NA,NA,21,NA,15.95,37.55,15.66,1107.16,0,117.95,41.71,0.4,5.82,9.46,11.35,728.71,715.47,13.24,0,0,0,403.08,230.34,259.49,23.68,688.6,339.94,0,51.66,64.44,183.26,639.31,"Nodo 3 - Pies inventariados",4.95,3.66,32.6,"40_1022_31","IFN3","40_1022",31,31,21,14.15,39.54,14.92,1227.72,0,1.74,124.21,37.73,0.44,6.39,8.34,10.07,761.98,755.76,6.22,10.78,0,0,0,436.13,220.33,244.77,21.61,725.25,359.09,1.5,62.18,76.36,203.21,702.35,"Nodo 1 - Pies inventariados",6.94,2.92
"15",15,"40_1022_22","IFN2","40_1022",NA,NA,22,NA,35.77,27.1,14.13,576.91,17.8,85.14,52.12,0.36,4.21,9.06,10.68,358.51,336.31,22.21,0,0,0,0,254.32,221.43,48.51,336.02,159.79,0,23.19,35.44,95.49,313.91,"Nodo 3 - Pies inventariados",4.75,3.63,22.35,"40_1022_32","IFN3","40_1022",32,32,22,14.15,26.3,13,543.12,18.18,0.77,82.61,49.44,0.4,4.28,7.78,9.23,310.9,291.37,19.52,4.4,0,0,0,0,183.84,208.35,47.81,289.98,138.44,0,23,36.5,89.9,287.84,"Nodo 1 - Pies inventariados",3.95,2.5
"16",16,"40_1022_23","IFN2","40_1022",NA,NA,23,NA,35.7,25.24,14.1,500.2,25.81,79.28,55.89,0.34,3.87,9.31,10.87,313.78,291.15,22.63,0,0,0,0,235.2,204.33,51.7,293.75,138.34,0,19.09,30.35,82.79,270.57,"Nodo 3 - Pies inventariados",4.69,3.6,20.55,"40_1022_33","IFN3","40_1022",33,33,23,14.15,24.21,12.58,460.42,20.38,0.65,76.06,51.97,0.4,3.96,7.58,8.98,258,239.09,18.91,3.65,0,0,0,0,165.5,187.05,50.89,242.68,113.6,0,18.88,31.6,76.21,240.29,"Nodo 1 - Pies inventariados",3.66,2.08
"17",17,"40_1022_24","IFN2","40_1022",NA,NA,24,NA,15.91,28.24,14.14,626.35,12.92,88.72,50.08,0.37,4.42,8.9,10.56,387.23,365.53,21.69,0,0,0,0,268.54,233.79,45.8,363.24,173.68,0,25.93,38.74,103.67,342.03,"Nodo 3 - Pies inventariados",4.79,3.64,23.45,"40_1022_34","IFN3","40_1022",34,34,24,14.15,28.45,13.42,635.64,12.23,0.9,89.37,47.16,0.42,4.64,7.85,9.37,371.52,351.94,19.58,5.26,0,0,0,0,264.23,230.9,44.15,350.89,167.22,0,27.74,41.84,105.21,342.01,"Nodo 1 - Pies inventariados",5,2.92
"18",18,"40_1022_25","IFN2","40_1022",NA,NA,25,NA,34.68,20.87,13.6,341.93,36.16,65.55,65.19,0.32,3.18,9.26,10.72,212.67,191.95,20.73,0,0,0,0,129.52,0,74.06,197.89,91.2,0,11.71,20.83,56.6,180.33,"Nodo 3 - Pies inventariados",4.57,3.6,16.3,"40_1022_35","IFN3","40_1022",35,35,25,31.83,20.3,12.92,323.74,24.44,1.03,63.78,63.62,0.39,3.28,7.93,9.33,191.57,172.57,19,6.1,0,0,0,0,71.34,0,83.99,179.87,81.99,0,11.38,20.82,53.59,167.78,"Nodo 1 - Pies inventariados",4,2.92
"19",19,"40_1022_26","IFN2","40_1022",NA,NA,26,NA,15.93,29.88,14.16,701.44,7.46,93.89,47.38,0.38,4.71,8.72,10.43,430.43,409.85,20.58,0,0,0,0,288.38,250.82,42.75,404.16,194.74,0,30.25,43.82,116.1,384.91,"Nodo 3 - Pies inventariados",4.83,3.66,25.05,"40_1022_36","IFN3","40_1022",36,36,26,14.15,27.92,13.83,612.21,14,0.87,87.71,49.55,0.41,4.5,8.18,9.73,370.52,349.5,21.03,5.24,0,0,0,0,261.59,228,45.92,350.28,166.06,0,25.63,38.76,101.33,331.78,"Nodo 1 - Pies inventariados",2.87,3.33
"20",20,"40_1022_27","IFN2","40_1022",NA,NA,27,NA,34.5,16.95,14.62,225.53,43.62,53.24,86.3,0.3,2.51,10.26,11.73,156.23,136.11,20.12,0,0,0,0,0,0,111.84,146.45,64.67,0,6.2,12.12,37.33,120.33,"Nodo 3 - Pies inventariados",4.45,3.62,12.5,"40_1022_38","IFN3","40_1022",38,38,27,31.83,16.01,13.5,201.44,30.59,0.64,50.31,84.3,0.37,2.53,8.52,9.94,129.47,112.22,17.25,4.12,0,0,0,0,0,0,98.79,121.3,53.32,0,5.71,11.74,33.34,104.11,"Nodo 1 - Pies inventariados",3.51,2.5
"21",21,"40_1022_28","IFN2","40_1022",NA,NA,28,NA,34.72,21.99,14.1,379.93,33.65,69.1,64.11,0.32,3.34,9.56,11.07,243.39,221.1,22.29,0,0,0,0,145,164.7,71.93,227.8,105.05,0,13.1,22.43,62.89,203.47,"Nodo 3 - Pies inventariados",4.59,3.6,17.4,"40_1022_39","IFN3","40_1022",39,39,28,31.83,21.05,13,347.87,22.25,1.11,66.12,61.77,0.39,3.4,7.91,9.34,206.09,186.63,19.46,6.56,0,0,0,0,129.62,0,72.16,192.22,88.67,0,12.49,22.36,57.58,181.1,"Nodo 1 - Pies inventariados",3.65,2.5
"22",22,"40_1022_29","IFN2","40_1022",NA,NA,29,NA,34.69,22.62,13.6,401.7,32.25,71.05,60.14,0.33,3.47,9.14,10.63,246.72,225.46,21.26,0,0,0,0,150.25,170.85,69.21,232.86,107.12,0,14.61,24.87,66.49,213.09,"Nodo 3 - Pies inventariados",4.62,3.6,18,"40_1022_40","IFN3","40_1022",40,40,29,31.83,20.8,12.92,339.85,23.36,1.08,65.35,62.09,0.39,3.36,7.89,9.31,200.35,181.16,19.19,6.38,0,0,0,0,126.41,0,72.64,188.11,86.07,0,12.17,21.96,56.25,176.45,"Nodo 1 - Pies inventariados",2.8,2.92
"23",23,"40_1022_3","IFN2","40_1022",NA,NA,3,NA,34.61,19.83,13.1,308.73,40.68,62.29,66.06,0.31,3.04,9.02,10.41,186.04,166.88,19.17,0,0,0,0,68.48,0,86.97,174.53,79.29,0,10.53,19.44,51.1,160.37,"Nodo 3 - Pies inventariados",4.53,3.6,15.3,"40_1022_3","IFN3","40_1022",3,3,3,31.83,17.54,12.42,241.54,29.09,0.77,55.09,70.8,0.38,2.84,7.74,9.07,140.28,123.77,16.51,4.47,0,0,0,0,0,0,104.11,129.93,58.81,0,7.89,15.79,39.98,122.47,"Nodo 1 - Pies inventariados",2.24,2.92
"24",24,"40_1022_30","IFN2","40_1022",NA,NA,30,NA,34.63,19.98,13.6,313.58,39.59,62.77,68.06,0.31,3.03,9.37,10.8,196.31,176,20.31,0,0,0,0,70.28,0,88.05,182.64,83.62,0,10.4,18.94,51.9,164.87,"Nodo 3 - Pies inventariados",4.53,3.6,15.45,"40_1022_42","IFN3","40_1022",42,42,30,31.83,18.62,12.08,272.23,27.45,0.87,58.49,64.9,0.38,3.04,7.46,8.78,152.26,135.75,16.51,4.85,0,0,0,0,59.49,0,89.1,141.35,64.5,0,9.53,18.58,45.06,137.67,"Nodo 1 - Pies inventariados",3.17,2.08
"25",25,"40_1022_31","IFN2","40_1022",NA,NA,31,NA,35.74,26.67,14.61,558.79,21.89,83.8,54.78,0.35,4.08,9.54,11.18,360.61,336.93,23.68,0,0,0,0,254.72,220.16,50.39,341.87,160.09,0,21.53,32.91,92.49,307.02,"Nodo 3 - Pies inventariados",4.72,3.61,21.95,"40_1022_46","IFN3","40_1022",46,46,31,14.15,26.97,13.92,571.21,17.37,0.81,84.72,51.6,0.4,4.32,8.35,9.89,349.75,328.05,21.69,4.95,0,0,0,0,252.3,219.85,48.07,328.1,155.87,0,23.18,35.66,94.55,309.26,"Nodo 1 - Pies inventariados",5.02,2.92
"26",26,"40_1022_32","IFN2","40_1022",NA,NA,32,NA,15.92,29.15,16.15,667.23,10.81,91.57,55.4,0.37,4.4,10.22,12.07,471.53,444.63,26.91,0,0,0,0,294.53,253.35,47.91,443.95,211.26,0,25.1,35.64,110.44,382.44,"Nodo 3 - Pies inventariados",4.8,3.65,24.35,"40_1022_47","IFN3","40_1022",47,47,32,14.15,29.79,14.17,697.21,10.29,0.99,93.6,47.55,0.42,4.8,8.26,9.86,428.28,407.61,20.67,6.06,0,0,0,0,288.93,251.19,42.63,402.32,193.67,0,29.99,43.5,115.4,382.56,"Nodo 1 - Pies inventariados",5.44,1.67
"27",27,"40_1022_33","IFN2","40_1022",NA,NA,33,NA,34.66,20.39,16.1,326.37,37.34,64.04,79,0.31,2.96,11.18,12.8,243.05,216.91,26.13,0,0,0,0,132.1,150.82,94.78,231.75,103.06,0,9.44,16.29,54.02,182.81,"Nodo 3 - Pies inventariados",4.54,3.6,15.85,"40_1022_49","IFN3","40_1022",49,49,33,31.83,20.3,13.33,323.52,25.47,1.03,63.76,65.69,0.38,3.24,8.24,9.68,197.9,178.02,19.89,6.3,0,0,0,0,72,0,85.79,185.95,84.58,0,11.05,20.05,53.55,169.24,"Nodo 1 - Pies inventariados",4.45,0.83
"28",28,"40_1022_34","IFN2","40_1022",NA,NA,34,NA,34.64,20.26,11.6,322.34,38.48,63.64,57.26,0.32,3.21,7.84,9.14,170.51,154.3,16.22,0,0,0,0,68.76,0,70.89,159.97,73.31,0,12.46,23.45,53.35,162.58,"Nodo 3 - Pies inventariados",4.56,3.6,15.7,"40_1022_50","IFN3","40_1022",50,888,34,31.83,15.7,12.31,193.59,31.23,0.62,49.32,78.43,0.37,2.54,7.73,9.05,113.38,98.38,15,3.61,0,0,0,0,0,0,90.64,105.55,46.74,0,5.87,12.5,32.04,97.16,"Nodo 1 - Pies inventariados",0,4.31
"29",29,"40_1022_35","IFN2","40_1022",NA,NA,35,NA,15.92,29.81,16.15,697.96,9.69,93.65,54.17,0.37,4.5,10.18,12.04,491.58,465.14,26.44,0,0,0,154.84,303.54,261.16,46.26,462.87,221,0,26.69,37.45,115.53,400.67,"Nodo 3 - Pies inventariados",4.81,3.65,25,"40_1022_53","IFN3","40_1022",53,52,35,14.15,30.14,13.75,713.65,9.28,1.01,94.7,45.61,0.42,4.9,7.96,9.53,424.15,404.95,19.2,6,0,0,0,0,287.37,251.25,28.83,399,192.4,0,31.8,46.19,118.12,388.52,"Nodo 1 - Pies inventariados",5.14,1.25
"30",30,"40_1022_4","IFN2","40_1022",NA,NA,4,NA,34.73,23.8,13.1,445.04,29.27,74.78,55.04,0.34,3.71,8.69,10.15,260.8,240.62,20.18,0,0,0,0,162.83,184.55,52.27,244.71,114.32,0,17.38,29.06,73.66,234.43,"Nodo 3 - Pies inventariados",4.65,3.6,19.15,"40_1022_6","IFN3","40_1022",6,6,4,14.15,23.44,13.25,431.7,21.04,0.61,73.65,56.52,0.39,3.78,8.04,9.49,256.59,236.05,20.53,3.63,0,0,0,0,159.11,180.37,64.31,239.96,112.16,0,16.51,27.74,71.46,227.86,"Nodo 1 - Pies inventariados",4.29,3.75
"31",31,"40_1022_5","IFN2","40_1022",NA,NA,5,NA,35.75,26.89,14.62,567.73,19.86,84.47,54.37,0.35,4.12,9.48,11.13,366.13,342.5,23.63,0,0,0,0,256.65,221.79,49.92,347.26,162.73,0,22,33.47,93.97,312.17,"Nodo 3 - Pies inventariados",4.74,3.62,22.15,"40_1022_7","IFN3","40_1022",7,7,5,14.15,27.3,13.92,585.53,15.72,0.83,85.78,50.97,0.4,4.38,8.29,9.84,357.83,336.28,21.55,5.06,0,0,0,0,256.04,223.12,47.76,335.68,159.78,0,23.98,36.65,96.92,317.32,"Nodo 1 - Pies inventariados",5.15,2.92
"32",32,"40_1022_6","IFN2","40_1022",NA,NA,6,NA,15.91,28.23,14.64,625.99,13.92,88.69,51.85,0.37,4.37,9.28,10.98,401.2,378.12,23.08,0,0,0,0,271.78,235.59,46.64,380.93,179.66,0,25.12,37.21,103.62,345.61,"Nodo 3 - Pies inventariados",4.78,3.64,23.45,"40_1022_8","IFN3","40_1022",8,8,6,14.15,29.19,14.33,669.3,11.28,0.95,91.71,49.1,0.41,4.68,8.4,10.01,417.51,395.9,21.61,5.91,0,0,0,0,282.18,244.86,44.57,394.49,188.1,0,28.06,41.03,110.78,367.98,"Nodo 1 - Pies inventariados",5.74,3.33
"33",33,"40_1022_7","IFN2","40_1022",NA,NA,7,NA,15.92,29.05,14.64,662.89,11.87,91.27,50.4,0.37,4.51,9.21,10.92,423.12,400.54,22.58,0,0,0,0,282.73,245.12,45.41,401.85,190.31,0,27.16,39.62,109.72,366.81,"Nodo 3 - Pies inventariados",4.8,3.64,24.25,"40_1022_9","IFN3","40_1022",9,9,7,14.15,30.94,13.92,751.99,7.16,1.06,97.21,44.98,0.43,5.04,7.99,9.58,450.78,431.88,18.91,6.38,0,0,0,158.77,300.22,262.17,28.36,422.88,205.2,0,33.8,48.25,124.47,411.72,"Nodo 1 - Pies inventariados",6.69,2.92
"34",34,"40_1022_8","IFN2","40_1022",NA,NA,8,NA,34.57,18.7,12.61,274.75,41.75,58.76,67.4,0.31,2.89,8.68,10.03,160.52,142.94,17.58,0,0,0,0,60.92,0,90.83,148.56,67.91,0,9.29,17.88,45.48,140.56,"Nodo 3 - Pies inventariados",4.5,3.61,14.2,"40_1022_10","IFN3","40_1022",10,10,8,31.83,17.58,12.33,242.67,28.31,0.77,55.22,70.16,0.38,2.85,7.66,8.99,139.9,123.51,16.39,4.45,0,0,0,0,0,0,103.89,130.39,58.69,0,7.99,15.99,40.17,122.84,"Nodo 1 - Pies inventariados",3.38,3.33
"35",35,"40_1022_9","IFN2","40_1022",NA,NA,9,NA,34.71,22.97,14.6,414.46,30.81,72.17,63.57,0.33,3.46,9.84,11.4,273.55,249.77,23.78,0,0,0,0,159.2,180.92,70.43,256.17,118.68,0,14.3,23.71,68.6,225.29,"Nodo 3 - Pies inventariados",4.62,3.6,18.35,"40_1022_13","IFN3","40_1022",13,13,9,14.15,23.36,13.5,428.47,21.65,0.61,73.38,57.8,0.39,3.74,8.22,9.7,259.84,238.71,21.13,3.68,0,0,0,0,159.48,180.68,66,243.43,113.42,0,16.06,26.92,70.92,227.33,"Nodo 1 - Pies inventariados",5.01,2.5
"36",36,"40_1033_1","IFN2","40_1033",NA,NA,1,NA,46.76,25.59,12.3,514.4,4.21,80.4,48.06,0.42,4.26,7.14,8.66,279.08,261.11,17.97,0,0,0,0,174.21,196.53,47.65,263.33,124.06,0,22.44,36.65,85.14,268.3,"Nodo 3 - Pies inventariados",4.59,3.3,21,"40_1033_1","IFN3","40_1033",1,1,1,14.15,26.9,12.33,568.25,1.98,0.8,84.5,45.85,0.49,4.67,6.34,7.81,306.8,289.23,17.58,4.34,0,0,0,0,185.26,209.61,45.52,290.15,137.42,0,25.66,40.76,94.06,297.9,"Nodo 1 - Pies inventariados",5.9,3.33
"37",37,"40_1033_10","IFN2","40_1033",NA,NA,10,NA,46.75,25.19,10.79,498.45,6.61,79.14,42.84,0.42,4.31,6.24,7.61,236.47,222.02,14.46,0,0,0,0,162.9,0,45.42,219,105.49,0,24.17,41.16,82.5,253.32,"Nodo 3 - Pies inventariados",4.59,3.29,20.6,"40_1033_13","IFN3","40_1033",13,13,10,14.15,25.5,11.25,510.84,2.79,0.72,80.12,44.11,0.49,4.52,5.76,7.11,252.61,237.17,15.44,3.57,0,0,0,0,168.16,188.51,46.16,235.83,112.69,0,24.08,40.31,84.56,261.64,"Nodo 1 - Pies inventariados",4.9,3.75
"38",38,"40_1033_11","IFN2","40_1033",NA,NA,11,NA,36.48,22.72,11.27,405.47,17.74,71.38,49.61,0.39,3.78,6.87,8.22,204.51,188.61,15.9,0,0,0,0,140.56,0,50.93,187.91,89.61,0,17.52,31.2,67.11,205.44,"Nodo 3 - Pies inventariados",4.52,3.27,18.2,"40_1033_14","IFN3","40_1033",14,14,11,31.83,21.79,11.33,373.03,9.19,1.19,68.47,52,0.47,3.81,6,7.33,190.45,174.47,15.98,6.06,0,0,0,0,78.1,0,63.74,175.65,82.9,0,15.55,28.29,61.74,188.47,"Nodo 1 - Pies inventariados",3.59,3.33
"39",39,"40_1033_12","IFN2","40_1033",NA,NA,12,NA,34.11,20.41,11.27,327.21,25.21,64.12,55.19,0.37,3.35,7.07,8.38,167.69,152.12,15.57,0,0,0,0,68.99,0,69.07,154.02,72.28,0,13.06,24.66,54.16,164.16,"Nodo 3 - Pies inventariados",4.46,3.27,15.95,"40_1033_15","IFN3","40_1033",15,15,12,31.83,19.94,11.75,312.2,13.4,0.99,62.64,58.93,0.46,3.43,6.38,7.73,167.81,151.39,16.42,5.34,0,0,0,0,66.97,0,72.53,157.41,71.93,0,11.79,22.31,51.68,157.71,"Nodo 1 - Pies inventariados",3.99,3.75
"40",40,"40_1033_13","IFN2","40_1033",NA,NA,13,NA,46.74,24.93,11.29,488.09,8.94,78.32,45.28,0.41,4.2,6.63,8.03,243.04,227.35,15.69,0,0,0,0,165.1,185.18,47.44,227.53,108.02,0,22.56,38.19,80.79,249.56,"Nodo 3 - Pies inventariados",4.58,3.29,20.35,"40_1033_21","IFN3","40_1033",21,21,13,14.15,25.36,10.92,505.19,3.51,0.71,79.68,43.04,0.49,4.51,5.59,6.91,242.29,227.59,14.7,3.43,0,0,0,0,166.17,0,44.99,224.13,108.14,0,24.37,41.22,83.62,257.35,"Nodo 1 - Pies inventariados",5.01,2.92
"41",41,"40_1033_14","IFN2","40_1033",NA,NA,14,NA,34.15,22.21,11.27,387.39,19.22,69.77,50.75,0.39,3.68,6.91,8.25,196.05,180.17,15.88,0,0,0,0,134.75,0,51.57,180.13,85.61,0,16.46,29.68,64.12,195.86,"Nodo 3 - Pies inventariados",4.51,3.27,17.7,"40_1033_23","IFN3","40_1033",23,23,14,31.83,22.44,10.92,395.59,6.71,1.26,70.51,48.64,0.48,3.97,5.69,6.99,193.33,178.22,15.12,6.15,0,0,0,0,81.65,0,50.76,178.85,84.68,0,17.43,31.5,65.48,199.09,"Nodo 1 - Pies inventariados",4.74,2.92
